PASSENGERS,UNIQUE_CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,MONTH
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ADQ,"Kodiak, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,AKN,"King Salmon, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",AKN,"King Salmon, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",ANI,"Aniak, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",BET,"Bethel, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",DLG,"Dillingham, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",EMK,"Emmonak, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",GAL,"Galena, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",ILI,"Iliamna, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",KAL,"Kaltag, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",KSM,"St. Mary's, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",MCG,"McGrath, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",OME,"Nome, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",OTZ,"Kotzebue, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",PTA,"Port Alsworth, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",TYE,"Tyonek, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANC,"Anchorage, AK",UNK,"Unalakleet, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ANI,"Aniak, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,ARC,"Arctic Village, AK",FAI,"Fairbanks, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,BET,"Bethel, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,CDB,"Cold Bay, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,DLG,"Dillingham, AK",AKN,"King Salmon, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,DLG,"Dillingham, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,DQH,"Alpine, AK",SCC,"Deadhorse, AK",1
,,,,,,
0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,DUT,"Unalaska, AK",ANC,"Anchorage, AK",1
,,,,,,
